iter	RMSE
0	112294.3844
1	109781.4605
2	107566.6122
3	105498.044
4	103744.5173
5	102225.0812
6	100813.7016
7	99454.99188
8	98325.06432
9	97306.49729
10	96398.19688
11	95559.75328
12	94762.96537
13	94044.50147
14	93376.63311
15	92678.27902
16	92149.04545
17	91639.97651
18	91185.92389
19	90794.5096
20	90294.76376
21	89924.13704
22	89441.04797
23	89097.26352
24	88811.12537
25	88485.43659
26	88187.02959
27	87949.87092
28	87548.75119
29	87342.20306
30	87120.50585
31	86922.40834
32	86712.98865
33	86460.56963
34	86179.66739
35	85941.62478
36	85698.74317
37	85476.32718
38	85260.89876
39	85074.36541
40	84758.45306
41	84592.59609
42	84419.65848
43	84206.49442
44	84037.82833
45	83866.59421
46	83702.49853
47	83469.9418
48	83285.82503
49	83127.53937
50	82922.36722
51	82793.22577
52	82682.95009
53	82598.44257
54	82476.51624
55	82375.96059
56	82262.48882
57	82061.97827
58	81991.68785
59	81883.76942
60	81772.24188
61	81589.76535
62	81502.04627
63	81416.79265
64	81320.87744
65	81261.01267
66	81135.46239
67	81040.69508
68	80885.99461
69	80778.74464
70	80613.69483
71	80521.99559
72	80427.46901
73	80353.82526
74	80253.38655
75	80161.09875
76	80072.42874
77	79983.52559
78	79887.36017
79	79785.0952
80	79704.50569
81	79632.74147
82	79568.78359
83	79485.45068
84	79399.38764
85	79329.95041
86	79250.31855
87	79195.08123
88	79105.68934
89	79030.26311
90	78970.06586
91	78902.05124
92	78776.10781
93	78656.43115
94	78615.52785
95	78530.31926
96	78470.83328
97	78420.47611
98	78341.13854
99	78294.88797
100	78228.46734
101	78175.31945
102	78122.83652
103	78081.39525
104	77993.67382
105	77944.22293
106	77895.55989
107	77837.9038
108	77757.42534
109	77700.02371
110	77629.52111
111	77584.02614
112	77499.23968
113	77446.51243
114	77377.33623
115	77313.83024
116	77255.63218
117	77203.58099
118	77157.22305
119	77084.84583
120	77037.42582
121	76936.44832
122	76870.80108
123	76820.52318
124	76776.86306
125	76727.01926
126	76684.85149
127	76596.70598
128	76537.88647
129	76483.31564
130	76412.27353
131	76374.74351
132	76341.35819
133	76288.33266
134	76250.60856
135	76201.06125
136	76126.24598
137	76067.16807
138	76017.12066
139	75969.86832
140	75934.92045
141	75875.63705
142	75805.65863
143	75742.37524
144	75694.61383
145	75647.57141
146	75609.32933
147	75556.6643
148	75528.44903
149	75454.28392
150	75401.67725
151	75367.00619
152	75325.59208
153	75265.01217
154	75200.97054
155	75147.8179
156	75118.86464
157	75069.78413
158	75018.96099
159	74981.74661
160	74937.92614
161	74886.12583
162	74849.15684
163	74806.65603
164	74774.27292
165	74711.62643
166	74645.29224
167	74606.72509
168	74574.18535
169	74548.42253
170	74506.94129
171	74476.17971
172	74435.82774
173	74382.90806
174	74344.926
175	74313.79178
176	74271.959
177	74244.13182
178	74206.98342
179	74174.15949
180	74147.96346
181	74108.88831
182	74067.43971
183	74038.05047
184	74002.3063
185	73960.54421
186	73930.60527
187	73886.845
188	73850.51916
189	73799.09411
190	73766.78985
191	73726.0418
192	73706.33367
193	73666.26217
194	73613.58119
195	73576.07562
196	73516.27876
197	73471.28569
198	73439.23179
199	73402.61137
200	73372.03048
201	73321.99464
202	73283.63302
203	73258.83357
204	73238.49109
205	73184.74841
206	73161.74942
207	73136.21602
208	73092.12595
209	73064.43712
210	73028.99774
211	72982.83967
212	72959.17228
213	72914.58149
214	72885.02894
215	72857.20615
216	72808.08182
217	72782.35243
218	72754.14472
219	72720.922
220	72699.75469
221	72673.25434
222	72648.68209
223	72632.83341
224	72596.94611
225	72571.44709
226	72549.25982
227	72520.99835
228	72496.83262
229	72469.69585
230	72444.84315
231	72395.01956
232	72352.57104
233	72338.43018
234	72309.40348
235	72287.29251
236	72253.88611
237	72228.51662
238	72197.29001
239	72174.52729
240	72146.43244
241	72123.54734
242	72103.50431
243	72070.70166
244	72025.55379
245	72004.35583
246	71965.14153
247	71940.73831
248	71894.68198
249	71873.98825
250	71846.56584
251	71813.04767
252	71785.09033
253	71770.4644
254	71722.21879
255	71697.43436
256	71657.75539
257	71624.41226
258	71600.97042
259	71577.1988
260	71544.92876
261	71515.19049
262	71493.08392
263	71475.61269
264	71456.36146
265	71423.74925
266	71383.24408
267	71352.73588
268	71314.58693
269	71294.88984
270	71272.32314
271	71233.04814
272	71210.55738
273	71186.95788
274	71160.85524
275	71143.03088
276	71108.41394
277	71077.0389
