iter	Passed	Remaining
0	8	8480
1	14	7470
2	21	7119
3	28	7010
4	34	6833
5	40	6745
6	46	6619
7	52	6496
8	58	6483
9	64	6405
10	70	6369
11	78	6426
12	84	6401
13	91	6413
14	97	6404
15	103	6385
16	110	6395
17	116	6357
18	123	6355
19	129	6332
20	135	6308
21	141	6297
22	148	6292
23	154	6269
24	160	6253
25	166	6231
26	172	6207
27	178	6187
28	184	6185
29	191	6182
30	196	6152
31	202	6136
32	208	6116
33	214	6100
34	220	6083
35	226	6061
36	232	6048
37	238	6047
38	244	6033
39	250	6019
40	257	6014
41	263	6002
42	269	5996
43	275	5983
44	281	5964
45	287	5961
46	293	5946
47	299	5939
48	306	5939
49	312	5932
50	318	5923
51	324	5916
52	330	5903
53	336	5900
54	343	5900
55	350	5907
56	356	5894
57	362	5892
58	369	5890
59	375	5875
60	381	5866
61	387	5863
62	393	5856
63	399	5844
64	406	5842
65	411	5827
66	418	5825
67	424	5819
68	431	5818
69	438	5822
70	445	5822
71	452	5827
72	458	5823
73	465	5825
74	473	5838
75	481	5848
76	487	5845
77	494	5841
78	500	5839
79	507	5831
80	513	5825
81	519	5813
82	525	5802
83	531	5797
84	537	5789
85	543	5780
86	550	5773
87	556	5763
88	562	5760
89	568	5751
90	574	5740
91	581	5736
92	587	5730
93	594	5733
94	600	5724
95	606	5714
96	612	5704
97	618	5692
98	624	5688
99	630	5678
100	637	5670
101	642	5659
102	648	5649
103	654	5640
104	660	5633
105	666	5620
106	671	5607
107	678	5607
108	685	5601
109	691	5595
110	697	5586
111	703	5579
112	710	5576
113	716	5565
114	722	5557
115	728	5552
116	735	5548
117	742	5549
118	748	5541
119	754	5534
120	761	5529
121	767	5524
122	774	5521
123	780	5515
124	786	5504
125	792	5500
126	799	5492
127	806	5492
128	812	5484
129	817	5472
130	824	5468
131	830	5459
132	836	5451
133	842	5445
134	848	5436
135	854	5430
136	861	5425
137	867	5416
138	873	5409
139	879	5401
140	885	5395
141	892	5391
142	898	5384
143	905	5380
144	911	5373
145	917	5367
146	924	5363
147	931	5362
148	937	5357
149	944	5351
150	950	5343
151	957	5340
152	963	5331
153	969	5328
154	976	5321
155	982	5313
156	988	5308
157	994	5301
158	1001	5294
159	1007	5287
160	1013	5279
161	1019	5274
162	1025	5267
163	1032	5263
164	1038	5256
165	1045	5251
166	1052	5248
167	1058	5241
168	1064	5235
169	1071	5229
170	1076	5221
171	1082	5212
172	1088	5205
173	1095	5199
174	1102	5195
175	1107	5186
176	1113	5179
177	1119	5171
178	1125	5163
179	1132	5160
180	1138	5151
181	1144	5144
182	1151	5139
183	1156	5131
184	1162	5123
185	1168	5114
186	1174	5106
187	1181	5101
188	1187	5094
189	1193	5088
190	1200	5083
191	1206	5076
192	1212	5070
193	1219	5064
194	1225	5058
195	1232	5054
196	1238	5048
197	1245	5044
198	1251	5038
199	1258	5032
200	1264	5027
201	1271	5021
202	1277	5016
203	1283	5007
204	1289	5001
205	1296	4997
206	1302	4989
207	1308	4983
208	1315	4977
209	1320	4969
210	1327	4963
211	1333	4957
212	1339	4950
213	1346	4944
214	1352	4937
215	1358	4932
216	1365	4927
217	1371	4920
218	1378	4914
219	1384	4908
220	1390	4902
221	1396	4895
222	1402	4887
223	1409	4882
224	1416	4877
225	1422	4872
226	1429	4867
227	1435	4860
228	1441	4853
229	1447	4846
230	1453	4838
231	1460	4835
232	1466	4828
233	1473	4822
234	1479	4815
235	1485	4808
236	1491	4803
237	1498	4797
238	1505	4792
239	1511	4785
240	1516	4777
241	1523	4772
242	1530	4766
243	1536	4761
244	1543	4755
245	1549	4748
246	1556	4743
247	1562	4736
248	1568	4729
